Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)
ALE2 at 42C, ALE4 at 42C, ALE5 at 42C, ALE10 at 42C	32.11	0.13	0.18
ALE2 at 42C, ALE4 at 42C, ALE6 at 42C, ALE7 at 42C	16.24	0.34	0.24
ALE2 at 42C, ALE4 at 42C, ALE6 at 42C, ALE8 at 42C	19.48	0.24	0.22
ALE2 at 42C, ALE4 at 42C, ALE6 at 42C, ALE9 at 42C	19.55	0.19	0.19
ALE2 at 42C, ALE4 at 42C, ALE6 at 42C, ALE10 at 42C	20.50	0.25	0.21
ALE2 at 42C, ALE4 at 42C, ALE7 at 42C, ALE8 at 42C	18.76	0.26	0.22
ALE2 at 42C, ALE4 at 42C, ALE7 at 42C, ALE9 at 42C	23.81	0.20	0.19
ALE2 at 42C, ALE4 at 42C, ALE7 at 42C, ALE10 at 42C	25.39	0.27	0.23
ALE2 at 42C, ALE4 at 42C, ALE8 at 42C, ALE9 at 42C	21.10	0.15	0.19
ALE2 at 42C, ALE4 at 42C, ALE8 at 42C, ALE10 at 42C	24.38	0.18	0.20
ALE2 at 42C, ALE4 at 42C, ALE9 at 42C, ALE10 at 42C	29.65	0.16	0.19
ALE2 at 42C, ALE5 at 42C, ALE6 at 42C, ALE7 at 42C	16.68	0.26	0.21
ALE2 at 42C, ALE5 at 42C, ALE6 at 42C, ALE8 at 42C	17.61	0.18	0.19
ALE2 at 42C, ALE5 at 42C, ALE6 at 42C, ALE9 at 42C	21.38	0.16	0.19
ALE2 at 42C, ALE5 at 42C, ALE6 at 42C, ALE10 at 42C	19.11	0.20	0.19
ALE2 at 42C, ALE5 at 42C, ALE7 at 42C, ALE8 at 42C	18.44	0.18	0.19
ALE2 at 42C, ALE5 at 42C, ALE7 at 42C, ALE9 at 42C	30.67	0.15	0.18
ALE2 at 42C, ALE5 at 42C, ALE7 at 42C, ALE10 at 42C	27.25	0.20	0.20
ALE2 at 42C, ALE5 at 42C, ALE8 at 42C, ALE9 at 42C	23.36	0.12	0.17
ALE2 at 42C, ALE5 at 42C, ALE8 at 42C, ALE10 at 42C	22.64	0.16	0.19
ALE2 at 42C, ALE5 at 42C, ALE9 at 42C, ALE10 at 42C	33.78	0.13	0.18
ALE2 at 42C, ALE6 at 42C, ALE7 at 42C, ALE8 at 42C	14.63	0.35	0.24
ALE2 at 42C, ALE6 at 42C, ALE7 at 42C, ALE9 at 42C	15.82	0.28	0.23
ALE2 at 42C, ALE6 at 42C, ALE7 at 42C, ALE10 at 42C	15.89	0.37	0.23
ALE2 at 42C, ALE6 at 42C, ALE8 at 42C, ALE9 at 42C	16.20	0.21	0.20
ALE2 at 42C, ALE6 at 42C, ALE8 at 42C, ALE10 at 42C	19.00	0.26	0.21
ALE2 at 42C, ALE6 at 42C, ALE9 at 42C, ALE10 at 42C	18.85	0.21	0.20
ALE2 at 42C, ALE7 at 42C, ALE8 at 42C, ALE9 at 42C	16.08	0.21	0.20
ALE2 at 42C, ALE7 at 42C, ALE8 at 42C, ALE10 at 42C	18.30	0.26	0.20
